price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
980,3.0,1.0,True,False,67.0,flat,Eixample
1195,1.0,1.0,True,False,95.0,flat,Sant Andreu
1050,1.0,1.0,True,False,61.0,apartment,Ciutat Vella
1700,4.0,2.0,True,True,95.0,flat,Eixample
1800,4.0,2.0,True,True,92.0,flat,Eixample
1350,4.0,2.0,True,False,120.0,flat,Eixample
930,2.0,1.0,True,True,70.0,flat,Sants-Montjuïc
995,4.0,1.0,True,True,87.0,flat,Horta- Guinardo
1200,2.0,1.0,True,True,65.0,flat,Sarria-Sant Gervasi
850,2.0,1.0,True,False,47.0,flat,Ciutat Vella
990,2.0,2.0,False,False,80.0,flat,Sarria-Sant Gervasi
2550,2.0,2.0,True,False,123.0,flat,Ciutat Vella
1150,2.0,1.0,True,False,60.0,apartment,Ciutat Vella
1200,3.0,1.0,True,False,75.0,apartment,Ciutat Vella
1300,2.0,1.0,False,False,70.0,flat,Ciutat Vella
1350,2.0,1.0,True,False,65.0,flat,Ciutat Vella
2000,2.0,2.0,True,True,115.0,flat,Ciutat Vella
850,1.0,1.0,False,False,40.0,apartment,Ciutat Vella
1475,2.0,2.0,False,False,121.0,flat,Ciutat Vella
1400,1.0,1.0,True,False,33.0,flat,Ciutat Vella
900,1.0,1.0,False,False,36.0,flat,Ciutat Vella
950,3.0,2.0,False,False,75.0,flat,Ciutat Vella
1300,1.0,1.0,False,False,68.0,flat,Ciutat Vella
1250,2.0,2.0,True,True,103.0,flat,Ciutat Vella
1100,3.0,2.0,True,False,85.0,flat,Ciutat Vella
2000,2.0,2.0,True,True,120.0,flat,Ciutat Vella
1100,1.0,1.0,True,False,68.0,flat,Ciutat Vella
1100,1.0,1.0,True,False,50.0,flat,Ciutat Vella
1600,3.0,2.0,True,False,122.0,flat,Ciutat Vella
1800,3.0,2.0,True,False,85.0,flat,Ciutat Vella
1000,3.0,1.0,False,False,70.0,flat,Ciutat Vella
702,2.0,1.0,True,False,37.0,flat,Ciutat Vella
3000,4.0,2.0,False,True,180.0,flat,Ciutat Vella
1700,2.0,2.0,True,False,120.0,flat,Ciutat Vella
1350,5.0,2.0,False,False,112.0,flat,Ciutat Vella
1600,3.0,2.0,True,False,86.0,attic,Ciutat Vella
1175,3.0,2.0,False,False,97.0,flat,Ciutat Vella
1250,2.0,2.0,True,False,46.0,flat,Ciutat Vella
2500,3.0,2.0,True,False,139.0,apartment,Ciutat Vella
1100,2.0,1.0,True,False,46.0,flat,Ciutat Vella
800,3.0,1.0,False,False,55.0,flat,Ciutat Vella
1360,2.0,1.0,True,True,57.0,apartment,Ciutat Vella
1700,2.0,2.0,False,True,151.0,flat,Ciutat Vella
2000,2.0,2.0,False,False,121.0,flat,Ciutat Vella
1500,3.0,2.0,True,False,89.0,flat,Ciutat Vella
1100,1.0,1.0,True,True,40.0,flat,Ciutat Vella
690,1.0,1.0,False,False,37.0,flat,Ciutat Vella
1500,1.0,2.0,False,False,110.0,flat,Ciutat Vella
1690,3.0,2.0,False,False,130.0,apartment,Ciutat Vella
1100,2.0,2.0,True,False,58.0,flat,Ciutat Vella
2200,2.0,2.0,True,True,90.0,flat,Ciutat Vella
1290,4.0,2.0,True,False,120.0,apartment,Ciutat Vella
1350,2.0,2.0,True,False,46.0,flat,Ciutat Vella
1290,2.0,1.0,False,False,62.0,flat,Ciutat Vella
1900,2.0,2.0,True,False,99.0,flat,Ciutat Vella
1400,2.0,2.0,True,True,65.0,flat,Ciutat Vella
800,2.0,1.0,False,False,50.0,flat,Ciutat Vella
1500,2.0,1.0,True,True,62.0,apartment,Ciutat Vella
900,2.0,1.0,True,False,60.0,flat,Ciutat Vella
1050,1.0,1.0,False,False,80.0,flat,Ciutat Vella
1250,2.0,2.0,True,True,67.0,flat,Ciutat Vella
1130,1.0,1.0,True,True,47.0,apartment,Ciutat Vella
1000,2.0,3.0,True,False,70.0,apartment,Ciutat Vella
1200,1.0,1.0,True,False,65.0,flat,Ciutat Vella
1250,2.0,1.0,True,True,62.0,apartment,Ciutat Vella
1100,1.0,1.0,True,False,110.0,flat,Ciutat Vella
2300,4.0,3.0,True,False,147.0,apartment,Ciutat Vella
1350,2.0,2.0,False,False,60.0,flat,Ciutat Vella
1200,2.0,2.0,False,False,70.0,flat,Ciutat Vella
2500,2.0,2.0,True,False,122.0,apartment,Ciutat Vella
2700,4.0,2.0,True,True,162.0,apartment,Ciutat Vella
1400,3.0,1.0,True,False,80.0,flat,Ciutat Vella
1500,2.0,2.0,True,True,98.0,flat,Ciutat Vella
1350,1.0,1.0,False,True,35.0,flat,Ciutat Vella
1250,2.0,1.0,False,False,65.0,flat,Ciutat Vella
1100,2.0,2.0,True,False,75.0,apartment,Ciutat Vella
1000,1.0,1.0,True,True,40.0,flat,Ciutat Vella
1250,2.0,2.0,True,False,46.0,flat,Ciutat Vella
1000,2.0,2.0,True,False,66.0,apartment,Ciutat Vella
1200,4.0,2.0,True,False,130.0,flat,Ciutat Vella
1600,3.0,2.0,True,False,173.0,flat,Ciutat Vella
1500,2.0,2.0,True,True,86.0,flat,Ciutat Vella
1200,2.0,1.0,False,False,85.0,flat,Ciutat Vella
2290,4.0,2.0,True,True,180.0,flat,Gràcia
1900,3.0,1.0,True,True,125.0,flat,Gràcia
1300,3.0,2.0,True,True,100.0,flat,Gràcia
2500,2.0,2.0,True,True,72.0,flat,Gràcia
1800,2.0,1.0,False,True,100.0,flat,Gràcia
1200,2.0,1.0,True,False,77.0,flat,Gràcia
1350,1.0,1.0,False,True,50.0,apartment,Gràcia
1250,2.0,2.0,False,False,75.0,flat,Gràcia
1480,2.0,2.0,True,False,100.0,flat,Gràcia
1300,2.0,1.0,True,False,60.0,apartment,Gràcia
1350,2.0,1.0,True,False,60.0,apartment,Gràcia
1800,3.0,2.0,True,False,100.0,flat,Gràcia
1900,1.0,1.0,False,True,80.0,flat,Gràcia
1300,3.0,1.0,False,True,85.0,flat,Gràcia
1400,3.0,2.0,False,False,125.0,flat,Gràcia
1835,1.0,1.0,True,False,59.0,flat,Gràcia
1400,2.0,1.0,True,False,55.0,flat,Gràcia
1900,1.0,1.0,False,True,80.0,flat,Gràcia
1500,1.0,1.0,False,True,94.0,flat,Gràcia
1800,2.0,1.0,True,False,100.0,flat,Gràcia
1800,2.0,1.0,False,True,65.0,attic,Gràcia
2050,3.0,2.0,True,True,177.0,flat,Gràcia
3200,5.0,3.0,True,False,208.0,flat,Gràcia
1300,4.0,1.0,False,True,85.0,flat,Gràcia
1300,4.0,1.0,True,False,107.0,flat,Les Corts
990,2.0,1.0,True,False,74.0,flat,Eixample
1200,3.0,2.0,True,True,77.0,flat,Sants-Montjuïc
2229,3.0,2.0,False,False,80.0,apartment,Eixample
2150,1.0,1.0,False,False,35.0,apartment,Sants-Montjuïc
1806,2.0,2.0,False,False,80.0,apartment,Sant Martí
2155,3.0,2.0,False,False,80.0,apartment,Eixample
2317,3.0,2.0,False,False,80.0,apartment,Eixample
2008,3.0,2.0,False,False,80.0,apartment,Eixample
2040,1.0,1.0,False,False,45.0,apartment,Sants-Montjuïc
2760,3.0,2.0,False,False,80.0,apartment,Eixample
950,1.0,1.0,True,True,40.0,attic,Eixample
900,1.0,1.0,True,False,45.0,flat,Eixample
850,1.0,1.0,True,False,50.0,flat,Ciutat Vella
1000,3.0,2.0,True,False,88.0,flat,Eixample
950,2.0,1.0,True,False,45.0,flat,Eixample
1500,3.0,2.0,False,False,92.0,flat,Sarria-Sant Gervasi
1600,3.0,2.0,True,True,100.0,flat,Sarria-Sant Gervasi
1000,1.0,2.0,True,False,50.0,flat,Eixample
1200,1.0,1.0,True,False,50.0,flat,Eixample
1350,3.0,1.0,True,True,120.0,flat,Eixample
1425,2.0,2.0,True,False,88.0,flat,Les Corts
1550,5.0,2.0,True,True,146.0,flat,Les Corts
1495,4.0,2.0,True,False,123.0,flat,Les Corts
950,2.0,1.0,True,False,62.0,flat,Eixample
950,1.0,1.0,True,False,50.0,flat,Eixample
2300,2.0,2.0,False,False,96.0,flat,Ciutat Vella
3200,5.0,3.0,True,False,200.0,flat,Les Corts
3400,5.0,3.0,True,False,200.0,flat,Les Corts
3200,4.0,3.0,True,True,148.0,flat,Sarria-Sant Gervasi
1500,2.0,2.0,True,False,88.0,flat,Sarria-Sant Gervasi
2300,4.0,2.0,True,False,158.0,flat,Sarria-Sant Gervasi
1100,2.0,1.0,True,False,57.0,flat,Eixample
1100,1.0,1.0,True,True,45.0,attic,Sarria-Sant Gervasi
1150,1.0,1.0,True,False,40.0,flat,Sarria-Sant Gervasi
1060,4.0,2.0,True,False,98.0,flat,Sarria-Sant Gervasi
750,1.0,1.0,False,False,60.0,flat,Sants-Montjuïc
1000,3.0,1.0,True,True,71.0,attic,Horta- Guinardo
750,2.0,1.0,False,False,52.0,flat,Sants-Montjuïc
1200,2.0,2.0,True,False,113.0,flat,Eixample
700,1.0,1.0,True,False,50.0,flat,Ciutat Vella
1125,2.0,1.0,True,True,75.0,flat,Ciutat Vella
1300,2.0,1.0,True,False,80.0,flat,Eixample
970,2.0,1.0,True,True,43.0,flat,Sarria-Sant Gervasi
1950,5.0,3.0,True,True,170.0,flat,Sarria-Sant Gervasi
1000,3.0,1.0,True,True,70.0,flat,Eixample
1850,3.0,2.0,True,True,100.0,flat,Sarria-Sant Gervasi
1290,3.0,2.0,True,False,100.0,flat,Eixample
950,1.0,1.0,True,False,54.0,flat,Ciutat Vella
1500,2.0,2.0,True,False,95.0,flat,Eixample
650,1.0,1.0,True,False,25.0,flat,Eixample
750,1.0,1.0,False,False,22.0,flat,Ciutat Vella
1080,2.0,1.0,False,False,75.0,flat,Sarria-Sant Gervasi
890,1.0,1.0,True,False,54.0,flat,Sarria-Sant Gervasi
3219,3.0,2.0,True,True,120.0,flat,Sarria-Sant Gervasi
3400,3.0,3.0,True,True,220.0,flat,Sarria-Sant Gervasi
1200,2.0,2.0,False,False,98.0,flat,Ciutat Vella
1626,3.0,2.0,True,True,81.0,flat,Eixample
3200,4.0,3.0,True,True,200.0,flat,Sarria-Sant Gervasi
750,1.0,1.0,False,False,40.0,flat,Ciutat Vella
1200,2.0,1.0,False,False,50.0,flat,Sants-Montjuïc
2200,2.0,2.0,True,True,89.0,flat,Ciutat Vella
1700,3.0,1.0,True,True,130.0,flat,Ciutat Vella
1450,4.0,2.0,True,False,84.0,flat,Les Corts
1200,3.0,1.0,True,False,75.0,flat,Ciutat Vella
1350,4.0,2.0,True,True,112.0,flat,Les Corts
1400,3.0,2.0,True,False,106.0,flat,Eixample
2000,5.0,3.0,True,True,167.0,flat,Sarria-Sant Gervasi
1724,3.0,2.0,True,True,78.0,flat,Eixample
1150,3.0,2.0,True,False,88.0,flat,Sarria-Sant Gervasi
935,3.0,2.0,False,False,82.0,flat,Horta- Guinardo
3400,5.0,4.0,True,True,220.0,flat,Sarria-Sant Gervasi
2500,3.0,2.0,True,True,145.0,flat,Sarria-Sant Gervasi
2000,3.0,2.0,True,True,110.0,flat,Eixample
1590,3.0,2.0,True,False,110.0,flat,Eixample
3000,3.0,3.0,True,True,174.0,flat,Ciutat Vella
2600,3.0,2.0,False,True,136.0,flat,Sant Martí
1000,3.0,1.0,False,False,63.0,flat,Gràcia
1900,2.0,2.0,True,True,92.0,flat,Gràcia
1600,4.0,2.0,True,True,137.0,flat,Sarria-Sant Gervasi
1650,3.0,2.0,True,True,138.0,flat,Eixample
2500,3.0,2.0,True,True,136.0,flat,Sarria-Sant Gervasi
1450,2.0,1.0,True,False,90.0,flat,Eixample
2700,5.0,3.0,True,True,227.0,flat,Sarria-Sant Gervasi
900,3.0,1.0,True,False,82.0,flat,Gràcia
1950,2.0,1.0,True,True,100.0,flat,Sant Martí
1150,1.0,2.0,True,False,100.0,flat,Ciutat Vella
