price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
1200,2,2,False,False,98,flat,Ciutat Vella
1626,3,2,True,True,81,flat,Eixample
750,1,1,False,False,40,flat,Ciutat Vella
1200,2,1,False,False,50,flat,Sants-Montjuïc
2200,2,2,True,True,89,flat,Ciutat Vella
1700,3,1,True,True,130,flat,Ciutat Vella
1450,4,2,True,False,84,flat,Les Corts
1200,3,1,True,False,75,flat,Ciutat Vella
1350,4,2,True,True,112,flat,Les Corts
1400,3,2,True,False,106,flat,Eixample
2000,5,3,True,True,167,flat,Sarria-Sant Gervasi
1724,3,2,True,True,78,flat,Eixample
1150,3,2,True,False,88,flat,Sarria-Sant Gervasi
935,3,2,False,False,82,flat,Horta- Guinardo
2500,3,2,True,True,145,flat,Sarria-Sant Gervasi
2000,3,2,True,True,110,flat,Eixample
1590,3,2,True,False,110,flat,Eixample
3000,3,3,True,True,174,flat,Ciutat Vella
2600,3,2,False,True,136,flat,Sant Martí
1000,3,1,False,False,63,flat,Gràcia
1900,2,2,True,True,92,flat,Gràcia
1600,4,2,True,True,137,flat,Sarria-Sant Gervasi
1650,3,2,True,True,138,flat,Eixample
2500,3,2,True,True,136,flat,Sarria-Sant Gervasi
1450,2,1,True,False,90,flat,Eixample
2700,5,3,True,True,227,flat,Sarria-Sant Gervasi
900,3,1,True,False,82,flat,Gràcia
1950,2,1,True,True,100,flat,Sant Martí
1150,1,2,True,False,100,flat,Ciutat Vella
1050,3,1,True,False,81,flat,Eixample
3000,4,3,True,True,193,attic,Eixample
1150,1,1,True,True,45,flat,Ciutat Vella
1750,4,2,True,True,100,flat,Sant Martí
900,1,1,False,True,47,flat,Sants-Montjuïc
2200,3,2,True,False,110,flat,Eixample
2200,4,2,True,True,175,flat,Eixample
975,1,1,True,False,51,flat,Ciutat Vella
2200,3,2,True,False,112,flat,Eixample
1300,1,1,True,False,99,flat,Ciutat Vella
1200,1,1,False,False,60,flat,Ciutat Vella
2250,2,2,True,True,75,flat,Eixample
1975,5,3,True,False,140,flat,Sarria-Sant Gervasi
1250,2,2,False,False,82,flat,Ciutat Vella
1600,1,1,True,False,82,flat,Eixample
1750,3,2,True,False,130,flat,Gràcia
1949,1,1,True,True,58,flat,Gràcia
2000,2,2,True,True,115,apartment,Ciutat Vella
1385,2,1,False,False,55,flat,Sant Martí
1050,2,1,False,True,55,flat,Gràcia
2150,4,2,True,False,158,flat,Sant Martí
1200,2,1,True,True,61,apartment,Ciutat Vella
1360,2,1,True,False,55,flat,Sant Martí
800,1,1,True,False,52,flat,Ciutat Vella
1700,2,2,True,True,120,apartment,Ciutat Vella
2900,4,3,True,False,247,apartment,Sarria-Sant Gervasi
1300,2,1,True,False,60,apartment,Ciutat Vella
1700,2,1,True,True,95,apartment,Ciutat Vella
2000,3,2,True,False,92,flat,Sant Martí
1450,2,2,False,False,80,attic,Sarria-Sant Gervasi
550,1,1,False,False,38,flat,Horta- Guinardo
2400,3,3,True,False,148,flat,Sarria-Sant Gervasi
2900,4,2,True,True,150,flat,Sarria-Sant Gervasi
3000,3,2,True,True,165,flat,Sarria-Sant Gervasi
3000,3,2,True,False,160,flat,Sarria-Sant Gervasi
620,0,1,True,False,29,flat,Les Corts
920,3,1,True,False,76,flat,Sant Martí
895,1,1,True,False,55,flat,Eixample
750,3,1,True,False,67,flat,Sant Andreu
1050,3,1,True,False,75,flat,Sarria-Sant Gervasi
800,3,1,False,False,65,flat,Sant Martí
1000,3,1,True,False,80,flat,Eixample
1085,3,2,True,False,83,flat,Les Corts
850,3,1,True,False,58,flat,Sants-Montjuïc
995,1,1,True,False,50,flat,Sarria-Sant Gervasi
995,1,1,False,True,42,attic,Gràcia
1650,3,3,True,False,85,flat,Eixample
800,1,1,True,False,50,flat,Sarria-Sant Gervasi
2800,4,3,True,False,200,flat,Les Corts
2900,3,2,True,False,178,flat,Sarria-Sant Gervasi
1675,4,3,True,False,137,flat,Sarria-Sant Gervasi
1700,2,2,True,False,85,flat,Eixample
1900,4,2,True,True,148,flat,Les Corts
2580,3,2,True,False,154,flat,Eixample
2000,3,3,True,False,150,flat,Les Corts
1350,3,2,True,False,124,flat,Eixample
850,1,1,True,False,40,flat,Sarria-Sant Gervasi
