price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
1350,2,1,True,False,65,flat,0,0,0,0,0,0,0,0,0
2000,2,2,True,True,115,flat,0,0,0,0,0,0,0,0,0
850,1,1,False,False,40,apartment,0,0,0,0,0,0,0,0,0
1475,2,2,False,False,121,flat,0,0,0,0,0,0,0,0,0
1400,1,1,True,False,33,flat,0,0,0,0,0,0,0,0,0
900,1,1,False,False,36,flat,0,0,0,0,0,0,0,0,0
950,3,2,False,False,75,flat,0,0,0,0,0,0,0,0,0
1300,1,1,False,False,68,flat,0,0,0,0,0,0,0,0,0
1250,2,2,True,True,103,flat,0,0,0,0,0,0,0,0,0
1100,3,2,True,False,85,flat,0,0,0,0,0,0,0,0,0
2000,2,2,True,True,120,flat,0,0,0,0,0,0,0,0,0
1100,1,1,True,False,68,flat,0,0,0,0,0,0,0,0,0
1100,1,1,True,False,50,flat,0,0,0,0,0,0,0,0,0
1600,3,2,True,False,122,flat,0,0,0,0,0,0,0,0,0
1800,3,2,True,False,85,flat,0,0,0,0,0,0,0,0,0
1000,3,1,False,False,70,flat,0,0,0,0,0,0,0,0,0
702,2,1,True,False,37,flat,0,0,0,0,0,0,0,0,0
3000,4,2,False,True,180,flat,0,0,0,0,0,0,0,0,0
1700,2,2,True,False,120,flat,0,0,0,0,0,0,0,0,0
1350,5,2,False,False,112,flat,0,0,0,0,0,0,0,0,0
1600,3,2,True,False,86,attic,0,0,0,0,0,0,0,0,0
1175,3,2,False,False,97,flat,0,0,0,0,0,0,0,0,0
1250,2,2,True,False,46,flat,0,0,0,0,0,0,0,0,0
2500,3,2,True,False,139,apartment,0,0,0,0,0,0,0,0,0
1100,2,1,True,False,46,flat,0,0,0,0,0,0,0,0,0
800,3,1,False,False,55,flat,0,0,0,0,0,0,0,0,0
1360,2,1,True,True,57,apartment,0,0,0,0,0,0,0,0,0
1700,2,2,False,True,151,flat,0,0,0,0,0,0,0,0,0
2000,2,2,False,False,121,flat,0,0,0,0,0,0,0,0,0
1500,3,2,True,False,89,flat,0,0,0,0,0,0,0,0,0
1100,1,1,True,True,40,flat,0,0,0,0,0,0,0,0,0
690,1,1,False,False,37,flat,0,0,0,0,0,0,0,0,0
1500,1,2,False,False,110,flat,0,0,0,0,0,0,0,0,0
1690,3,2,False,False,130,apartment,0,0,0,0,0,0,0,0,0
1100,2,2,True,False,58,flat,0,0,0,0,0,0,0,0,0
2200,2,2,True,True,90,flat,0,0,0,0,0,0,0,0,0
1290,4,2,True,False,120,apartment,0,0,0,0,0,0,0,0,0
1350,2,2,True,False,46,flat,0,0,0,0,0,0,0,0,0
1290,2,1,False,False,62,flat,0,0,0,0,0,0,0,0,0
